Performance_Date,Genre,Band_Name,Venue_Name,State_Abbr,City,TotalRev
6/15/2012,,Guo Chen                                                                                            ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,3747.7
6/16/2012,Classical,Utopian Chiyoko                                                                                     ,Yukiko's                                                                                            ,CA,Santee                                            ,4014.2
6/18/2012,Pop,The Macdonald Story                                                                                 ,Dorothy's                                                                                           ,CA,Redwood City                                      ,1924.77
6/19/2012,Gospel,Wealthy Hayashi                                                                                     ,Yukiko's                                                                                            ,CA,Santee                                            ,4291.06
6/20/2012,Gospel,The Fernandez Disaster                                                                              ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,7120.52
6/20/2012,,The Lin Experiment                                                                                  ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,7977.8
6/25/2012,Pop,Erase The Love                                                                                      ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,2633.31
7/5/2012,,The Lin Experiment                                                                                  ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,2096.88
7/7/2012,Rap,The Watchful Gang                                                                                   ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2097.87
7/10/2012,Classical,Peng Ma                                                                                             ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,4174.36
7/10/2012,Gospel,The Abandoned Story                                                                                 ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,6711.33
7/11/2012,Rap,Dig The Storm                                                                                       ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,7000.39
7/16/2012,Rap,Invalid Agent                                                                                       ,Grace's                                                                                             ,Texas,Garland                                           ,8292.22
7/16/2012,Rap,Metal Anish                                                                                         ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,3468.04
7/20/2012,Pop,Honest Garcia                                                                                       ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,3276.89
7/20/2012,Rock,The Majestic Fields                                                                                 ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,83810.73
7/29/2012,Rap,Shakira Guzman                                                                                      ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,1954.79
8/6/2012,,David And The Hungers                                                                               ,Yukiko's                                                                                            ,CA,Santee                                            ,2872.03
10/3/2013,Rock,Ordinary Jose                                                                                       ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,2515.23
10/4/2013,Rap,The Watchful Gang                                                                                   ,Grace's                                                                                             ,Texas,Garland                                           ,8897.47
10/7/2013,,Amplify The Incoherence                                                                             ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,4377.8
10/9/2013,,The Revelation Project                                                                              ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,63060.93
10/14/2013,Pop,Nervous Wind                                                                                        ,Yukiko's                                                                                            ,CA,Santee                                            ,2223.71
10/16/2013,,The Lamentable Communities                                                                          ,Dorothy's                                                                                           ,CA,Redwood City                                      ,5675.08
10/20/2013,Classical,Kang And The Winters                                                                                ,Grace's                                                                                             ,Texas,Garland                                           ,3669.86
10/23/2013,Pop,Hurt The Wheel                                                                                      ,Hiroki's                                                                                            ,LA,Maurepas                                          ,3212.24
10/23/2013,,Pedro Martinez                                                                                      ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,20026.79
10/27/2013,,Nosy Inoue                                                                                          ,Grace's                                                                                             ,Texas,Garland                                           ,4216.59
10/27/2013,,The Macho Beings                                                                                    ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,4124.61
10/27/2013,Rock,Youthful Naoki                                                                                      ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,8721.69
10/28/2013,,Cheerful Jie                                                                                        ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,3108.98
10/28/2013,Rock,Ordinary Jose                                                                                       ,Dorothy's                                                                                           ,CA,Redwood City                                      ,1074.79
10/31/2013,,The Futility Gang                                                                                   ,Tadashi's                                                                                           ,CA,San Jose                                          ,33692.2
11/1/2013,,The Satire Story                                                                                    ,Tadashi's                                                                                           ,CA,San Jose                                          ,4204.12
11/5/2013,Rap,Metal Anish                                                                                         ,Yukiko's                                                                                            ,CA,Santee                                            ,4315.11
11/7/2013,Gospel,Jessica And The Rains                                                                               ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,6647.37
11/11/2013,,The A-Bomb Project                                                                                  ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,1869.19
11/11/2013,Pop,The Ross File                                                                                       ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,2870.78
11/13/2013,,Cheerful Jie                                                                                        ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,20812.81
11/13/2013,Jazz,Thomas Murray                                                                                       ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,1837.85
8/6/2012,,Shut The Heart                                                                                      ,Grace's                                                                                             ,Texas,Garland                                           ,5800.73
8/13/2012,Rock,Kazumi And The Hearts                                                                               ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2396.35
8/23/2012,Rock,The Storm Experiment                                                                                ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,9607.35
8/26/2012,Gospel,The Data Posse                                                                                      ,Dorothy's                                                                                           ,CA,Redwood City                                      ,3948.85
9/2/2012,,The Flawless Summers                                                                                ,Grace's                                                                                             ,Texas,Garland                                           ,5910.8
9/4/2012,Pop,The Funny Loves                                                                                     ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,9913.91
9/7/2012,Rock,Pretty Vasquez                                                                                      ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,7690.27
9/12/2012,Classical,The Incoherence Players                                                                             ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,14871.13
9/13/2012,Rock,The Storm Experiment                                                                                ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,81946.86
9/16/2012,Classical,The Aoki Experiment                                                                                 ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,6351.7
9/17/2012,Rap,Bao Guo                                                                                             ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,8032.92
9/22/2012,Classical,Graceful Ross                                                                                       ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3133.88
10/3/2012,Rap,Early Anisha                                                                                        ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,2064.46
10/4/2012,Classical,Graceful Ross                                                                                       ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,8998.51
10/11/2012,Rock,Tranquil Winter                                                                                     ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,9513.15
10/14/2012,Classical,The World Gamble                                                                                    ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,1176.33
10/30/2010,,Kazuki Saito                                                                                        ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,8143.77
11/3/2010,Pop,The Rao Disaster                                                                                    ,Yukiko's                                                                                            ,CA,Santee                                            ,5901.6
11/4/2010,,Ning Yang                                                                                           ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,3637.32
11/12/2010,,Utopian Future                                                                                      ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,2339.37
11/18/2010,Rap,The Merciful Televisions                                                                            ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,5549.45
12/10/2010,Rock,Kind Suman                                                                                          ,Hiroki's                                                                                            ,LA,Maurepas                                          ,5044.98
12/14/2010,Pop,Guo Gao                                                                                             ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,26621.97
12/18/2010,Rap,Bao Guo                                                                                             ,Grace's                                                                                             ,Texas,Garland                                           ,92777.4
12/30/2010,Rock,Takumi Yoshida                                                                                      ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,9309.69
1/1/2011,Pop,The Ecstasy Gang                                                                                    ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,3917.9
1/9/2011,Jazz,William Smith                                                                                       ,Dorothy's                                                                                           ,CA,Redwood City                                      ,2950.48
1/10/2011,,The Tame File                                                                                       ,Yukiko's                                                                                            ,CA,Santee                                            ,8294.15
1/12/2011,Classical,Isabel Medina                                                                                       ,Hiroki's                                                                                            ,LA,Maurepas                                          ,8524.4
1/12/2011,,The Macho Beings                                                                                    ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,92581.7
1/18/2011,,The Loss Story                                                                                      ,Hiroki's                                                                                            ,LA,Maurepas                                          ,3914.6
2/2/2011,Classical,The Courageous Gamble                                                                               ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3133.08
2/8/2011,Jazz,Bear The Shakespeare                                                                                ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,2473.8
2/8/2011,Jazz,Naoko Yamada                                                                                        ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,3339.46
2/9/2011,Pop,Ramakrishna Jain                                                                                    ,Grace's                                                                                             ,Texas,Garland                                           ,9519.44
2/10/2011,,The Class Disaster                                                                                  ,Tadashi's                                                                                           ,CA,San Jose                                          ,1782.63
2/19/2011,,The Puppet File                                                                                     ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,7904.59
2/21/2011,Jazz,The Squalid Project                                                                                 ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,9345.66
2/22/2011,Classical,The World Gamble                                                                                    ,Tadashi's                                                                                           ,CA,San Jose                                          ,7738.58
2/24/2011,Jazz,Bear The Shakespeare                                                                                ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,9438.89
2/24/2011,Pop,The Cynical Experience                                                                              ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,1272.92
2/26/2011,Rock,Steal The Eminence                                                                                  ,Tadashi's                                                                                           ,CA,San Jose                                          ,7466.9
3/1/2011,,The Loss Story                                                                                      ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,36973.59
3/4/2011,Jazz,The Green Trains                                                                                    ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,6749.41
3/4/2011,,The Tame File                                                                                       ,Dorothy's                                                                                           ,CA,Redwood City                                      ,1222.8
3/5/2011,Classical,Hurt The Abstraction                                                                                ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,5096.57
3/8/2011,,William Scott                                                                                       ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,1999.71
3/13/2011,Jazz,Jacob Watson                                                                                        ,Grace's                                                                                             ,Texas,Garland                                           ,7410.58
3/15/2011,Rock,Pretty Vasquez                                                                                      ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2978.24
3/15/2011,,The Lin Experiment                                                                                  ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1191.14
3/23/2011,Gospel,The Data Posse                                                                                      ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1525.83
3/27/2011,Rock,The Storm Experiment                                                                                ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,1676.73
4/3/2011,Pop,Erase The Love                                                                                      ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,1548.63
4/8/2011,Classical,The World Gamble                                                                                    ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,2971.03
4/15/2011,Gospel,Cry The Abstraction                                                                                 ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,7560.86
4/15/2011,Pop,Good Anna                                                                                           ,Hiroki's                                                                                            ,LA,Maurepas                                          ,2096.79
4/16/2011,Pop,Faulty Ground                                                                                       ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,8036.63
4/18/2011,Rap,Bao Guo                                                                                             ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,1383.96
4/26/2011,Classical,Lian He                                                                                             ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,8675.14
4/27/2011,,The Savant Posse                                                                                    ,Tadashi's                                                                                           ,CA,San Jose                                          ,2526.84
5/2/2011,,The Satire Story                                                                                    ,Tadashi's                                                                                           ,CA,San Jose                                          ,5187.34
5/7/2011,,Miguel Mendoza                                                                                      ,Dorothy's                                                                                           ,CA,Redwood City                                      ,61688.91
5/7/2011,Rap,Resolute Sage                                                                                       ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,2713.19
5/8/2011,,Patricia And The Streets                                                                            ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,4196.59
5/10/2011,Rap,The Heart Posse                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,9694.61
5/11/2011,,The Savant Posse                                                                                    ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,9742.56
5/25/2011,Rock,Elite David                                                                                         ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,5532.62
5/28/2011,Jazz,The Exaltation Gamble                                                                               ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,3600.6
5/29/2011,Jazz,Catch The Class                                                                                     ,Yukiko's                                                                                            ,CA,Santee                                            ,2122.66
5/30/2011,Rap,Shakira Guzman                                                                                      ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,7792.52
5/31/2011,,The Savant Posse                                                                                    ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,3730.88
6/2/2011,Rock,Ordinary Jose                                                                                       ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,4523.29
6/3/2011,Classical,The Macabre Galaxies                                                                                ,Tadashi's                                                                                           ,CA,San Jose                                          ,2011.58
6/3/2011,Classical,Zealous A-Bomb                                                                                      ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,7099.97
6/7/2011,Pop,Guo Gao                                                                                             ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,2268.59
6/8/2011,,Belligerant Hernandez                                                                               ,Yukiko's                                                                                            ,CA,Santee                                            ,2747.29
6/8/2011,,Proud Space                                                                                         ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,5205.48
6/16/2011,,Alleged Pandit                                                                                      ,Dorothy's                                                                                           ,CA,Redwood City                                      ,4685.09
6/17/2011,Rap,Metal Anish                                                                                         ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,8947.26
6/17/2011,Rock,Tough Rios                                                                                          ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,1437.54
6/21/2011,,Crooked Elena                                                                                       ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3417.37
6/21/2011,Classical,Hurt The Abstraction                                                                                ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1452.96
6/21/2011,,The Jain Gang                                                                                       ,Hiroki's                                                                                            ,LA,Maurepas                                          ,2194.38
6/22/2011,,The Aggarwal Group                                                                                  ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,48644.04
6/24/2011,Rap,Kali Bhati                                                                                          ,Hiroki's                                                                                            ,LA,Maurepas                                          ,3510.82
6/25/2011,Jazz,The Saigal Gang                                                                                     ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,4478.45
6/27/2011,,The Glorious Gang                                                                                   ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,1009.86
6/30/2011,Pop,Chiyoko Yoshida                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,8854.88
7/2/2011,Rock,Dong Gao                                                                                            ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,5016.13
7/2/2011,Pop,Ernesto And The Data                                                                                ,Yukiko's                                                                                            ,CA,Santee                                            ,9254.73
7/5/2011,Pop,Dizzy Yoko                                                                                          ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,2121.28
7/8/2011,,The Venomous Disaster                                                                               ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,2873.66
7/11/2011,,Lyrical Gutierrez                                                                                   ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1000.07
7/13/2011,Rap,The Heart Posse                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,3734.82
7/14/2011,,Alleged Pandit                                                                                      ,Hiroki's                                                                                            ,LA,Maurepas                                          ,2084.25
7/22/2011,Rock,Amar Khatri                                                                                         ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,4917.54
7/24/2011,Gospel,The Watson Players                                                                                  ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2363.93
7/27/2011,Classical,Delete The Ground                                                                                   ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,7255.91
7/28/2011,,Crash The Drug                                                                                      ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,8122.8
7/29/2011,Rock,The Wu Gamble                                                                                       ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,67382.48
7/29/2011,,Upbeat Santiago                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,7593.42
7/30/2011,Classical,The Macabre Galaxies                                                                                ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,3303.83
7/30/2011,Jazz,The Saigal Gang                                                                                     ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,2112.71
8/1/2011,,Proud Space                                                                                         ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,2934.58
8/3/2011,Jazz,Cowardly Galaxy                                                                                     ,Grace's                                                                                             ,Texas,Garland                                           ,22164.77
8/5/2011,,Crash The Drug                                                                                      ,Yukiko's                                                                                            ,CA,Santee                                            ,5314.32
8/8/2011,Rap,Cheng Xu                                                                                            ,Tadashi's                                                                                           ,CA,San Jose                                          ,5561.39
8/13/2011,Rap,Dai Liu                                                                                             ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,7659.65
8/14/2011,Rock,Stormy Mandeep                                                                                      ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,30645.94
8/15/2011,,Sad Street                                                                                          ,Dorothy's                                                                                           ,CA,Redwood City                                      ,8261.83
8/17/2011,Rock,Ryo And The Insanities                                                                              ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2611.62
8/28/2011,Pop,Ernesto And The Data                                                                                ,Dorothy's                                                                                           ,CA,Redwood City                                      ,1099.63
8/28/2011,,Torpid Tiwari                                                                                       ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,2175.93
9/1/2011,Rap,Kali Bhati                                                                                          ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,5296.96
9/5/2011,Pop,Erase The Future                                                                                    ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,47717.36
9/10/2011,Jazz,The Thomson Group                                                                                   ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,2842.07
9/11/2011,Pop,Ernesto And The Data                                                                                ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,9146.42
9/11/2011,,The Savant Posse                                                                                    ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,8024.79
9/14/2011,Rock,Honorable Naoko                                                                                     ,Dorothy's                                                                                           ,CA,Redwood City                                      ,2619.4
9/15/2011,Classical,Animated Takumi                                                                                     ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,19415.98
9/20/2011,Rap,The Habitual Agents                                                                                 ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,3082.26
9/22/2011,Classical,The Orange Experiment                                                                               ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,72174.21
